Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score,Fraud_Risk_Score,Fraud_Flag,Claim_Status,Settlement_Amount
CLM000036,CUST002534,POL0779427,59,Female,East,Life,3035.49,37853.77,30612.01,Medical,579,77.11,Yes,Under Review,29548.98
CLM000037,CUST007114,POL0618224,69,Female,South,Auto,2713.93,88484.54,39478.13,Theft,719,70.18,No,Approved,34725.63
CLM000038,CUST016897,POL0138595,37,Male,West,Auto,3183.83,72979.44,18365.34,Accident,558,13.87,No,Approved,16011.27
CLM000039,CUST018557,POL0334492,52,Female,North,Auto,2721.27,14866.49,42314.11,Medical,445,22.28,No,Approved,39290.02
CLM000040,CUST006288,POL0494887,72,Male,North,Home,860.74,53869.59,3074.06,Theft,658,99.06,Yes,Under Review,1631.18
CLM000041,CUST001282,POL0175253,62,Female,East,Life,1094.01,63206.38,4091.65,Accident,489,16.63,No,Rejected,2800.75
CLM000042,CUST008092,POL0263829,79,Female,South,Health,3459.97,50916.48,11444.04,Theft,533,61.4,No,Approved,10990.43
CLM000043,CUST005592,POL0204171,23,Female,North,Health,1148.44,65470.45,25968.7,Theft,829,89.14,Yes,Under Review,14658.65
CLM000044,CUST013834,POL0078846,71,Male,West,Auto,1289.68,59623.5,41998.83,Theft,543,32.73,No,Approved,41433.3
CLM000045,CUST019182,POL0821178,44,Male,East,Auto,2305.59,37756.56,29997.92,Theft,709,71.82,No,Approved,17099.68
CLM000046,CUST018532,POL0589867,55,Female,West,Auto,3661.99,13022.59,5125.65,Theft,759,46.06,No,Rejected,4252.55
CLM000047,CUST005709,POL0031920,35,Male,South,Health,561.73,19122.11,9755.71,Theft,782,95.28,Yes,Under Review,9475.39
CLM000048,CUST013099,POL0343999,67,Male,West,Home,4045.72,88198.47,2632.09,Accident,304,3.58,No,Approved,2557.94
CLM000049,CUST003185,POL0431821,49,Female,West,Life,3861.98,22309.14,5256.46,Theft,353,74.19,No,Approved,2741.64
CLM000050,CUST016080,POL0405135,79,Female,North,Auto,1903.0,59427.99,17498.55,Property,344,84.82,Yes,Under Review,10537.45
CLM000051,CUST004086,POL0848694,28,Male,East,Auto,1750.93,35925.17,4913.93,Theft,840,14.48,No,Approved,4727.78
CLM000052,CUST007809,POL0575166,57,Female,South,Health,4033.43,77160.13,6135.62,Medical,645,53.07,No,Approved,4915.74
CLM000053,CUST001025,POL0868581,53,Male,North,Life,4520.22,52078.44,34153.99,Property,816,92.79,Yes,Under Review,25818.07
CLM000054,CUST004768,POL0463271,60,Male,South,Home,2960.29,60958.27,4466.67,Theft,672,4.31,No,Approved,2853.33
CLM000055,CUST012668,POL0683757,49,Male,North,Home,975.13,91329.1,15981.17,Theft,639,55.67,No,Approved,14126.83
CLM000056,CUST005619,POL0598850,52,Female,North,Health,479.9,99573.74,10801.69,Accident,358,15.96,No,Approved,6346.37
CLM000057,CUST015679,POL0612437,27,Female,West,Health,318.7,60694.41,49170.18,Accident,489,32.51,No,Approved,28312.46
CLM000058,CUST004095,POL0567952,65,Female,South,Health,1179.41,32318.25,17058.88,Property,500,14.63,No,Approved,15624.18
CLM000059,CUST019804,POL0848905,40,Male,East,Auto,2902.19,95065.51,1260.07,Medical,836,42.39,No,Approved,778.31
CLM000060,CUST008745,POL0545936,49,Female,South,Home,2560.76,89965.96,29665.1,Property,839,53.85,No,Approved,16769.66
CLM000061,CUST005016,POL0013194,23,Male,South,Auto,1944.22,64191.39,32382.63,Property,697,49.24,No,Approved,17575.61
CLM000062,CUST003416,POL0011774,35,Male,North,Life,1971.05,53306.2,17007.41,Property,593,29.14,No,Approved,13101.45
CLM000063,CUST001640,POL0269562,67,Male,West,Home,4183.23,12022.79,9049.02,Medical,665,61.14,No,Approved,8872.76
CLM000064,CUST004263,POL0242222,24,Female,South,Health,4653.76,5685.38,28317.03,Property,832,18.9,No,Approved,17505.12
CLM000065,CUST001665,POL0884051,48,Male,South,Auto,515.5,96513.32,6322.26,Medical,777,52.97,No,Approved,4381.82
CLM000066,CUST013528,POL0374356,38,Female,East,Life,1077.16,6198.09,26978.05,Accident,384,3.8,No,Approved,21712.15
CLM000067,CUST004363,POL0458940,52,Female,West,Life,3877.13,90361.04,27991.57,Accident,809,48.77,No,Approved,22022.37
CLM000068,CUST007083,POL0539811,60,Male,East,Auto,480.37,12148.23,5509.49,Theft,428,59.66,No,Rejected,4041.13
CLM000069,CUST017237,POL0521512,24,Male,East,Health,661.66,55142.58,16619.49,Theft,658,36.93,No,Approved,8679.43
CLM000070,CUST002752,POL0473385,38,Male,North,Health,3595.6,26785.34,9194.74,Accident,544,84.34,Yes,Under Review,7726.43
CLM000071,CUST003740,POL0109533,21,Male,South,Health,673.15,10765.59,32774.14,Theft,580,55.3,No,Approved,30816.51
CLM000072,CUST007956,POL0347378,57,Female,West,Life,2940.99,16593.95,44482.06,Theft,547,25.36,No,Approved,37656.49
CLM000073,CUST013578,POL0299484,20,Female,East,Life,1357.61,29601.89,46419.08,Medical,491,46.32,No,Approved,29368.66
CLM000074,CUST011669,POL0195535,37,Female,North,Auto,2314.77,66312.86,15053.68,Accident,608,56.18,No,Approved,10851.56
CLM000075,CUST016616,POL0231918,66,Male,North,Auto,1667.06,29630.12,21707.39,Property,688,82.42,Yes,Under Review,20027.27
CLM000076,CUST012180,POL0041189,22,Female,West,Life,2336.9,70608.11,28769.6,Accident,335,3.62,No,Approved,21323.48
CLM000077,CUST000690,POL0740632,24,Female,East,Home,3464.85,75826.1,26490.14,Accident,693,68.65,No,Approved,18255.59
CLM000078,CUST014937,POL0384645,54,Female,South,Life,2450.48,33507.47,11142.04,Theft,341,32.48,No,Approved,9031.3
CLM000079,CUST010943,POL0453191,42,Male,South,Auto,4146.9,9770.21,45974.97,Medical,800,5.95,No,Rejected,37544.36
CLM000080,CUST002093,POL0519991,50,Male,East,Home,2797.23,8364.77,12556.55,Property,682,47.74,No,Approved,10767.54
CLM000081,CUST010373,POL0480527,59,Female,South,Life,1117.71,99191.0,33351.54,Medical,826,83.12,Yes,Under Review,25173.2
CLM000082,CUST018173,POL0076197,48,Female,East,Auto,355.47,89138.83,969.36,Medical,498,0.17,No,Approved,882.34
CLM000083,CUST003789,POL0013501,79,Female,North,Life,4150.87,54302.35,14933.85,Accident,440,99.54,Yes,Under Review,8908.9
CLM000084,CUST008536,POL0248151,48,Male,East,Health,4847.17,31500.81,49751.89,Property,658,3.37,No,Approved,28464.34
CLM000085,CUST011238,POL0584185,31,Female,West,Health,1637.54,99248.15,15912.25,Property,716,91.92,Yes,Under Review,14276.94
CLM000086,CUST009436,POL0322778,69,Male,East,Auto,4683.25,85390.72,43963.84,Medical,476,93.68,Yes,Under Review,34434.58
CLM000087,CUST013053,POL0689407,71,Male,South,Auto,1234.55,33423.49,43875.33,Theft,314,8.75,No,Approved,24142.05
CLM000088,CUST017350,POL0213036,64,Female,South,Auto,3002.78,15067.8,19654.05,Medical,466,51.92,No,Approved,16828.08
CLM000089,CUST011056,POL0786569,71,Male,East,Auto,1259.53,51537.55,11690.1,Medical,556,54.82,No,Approved,9359.23
CLM000090,CUST016654,POL0681258,77,Male,West,Home,1237.67,99755.19,7458.21,Property,556,9.56,No,Approved,5933.63
CLM000091,CUST005837,POL0620321,39,Female,South,Health,2234.85,72969.83,10204.04,Theft,843,62.73,No,Rejected,8343.03
CLM000092,CUST013292,POL0811789,52,Male,West,Home,853.51,90864.13,22062.31,Property,520,73.2,No,Approved,12039.14
CLM000093,CUST016818,POL0638239,19,Female,South,Home,1986.68,98953.97,29836.7,Accident,638,5.03,No,Approved,20665.67
CLM000094,CUST019251,POL0041956,42,Male,North,Life,646.6,8089.16,31336.75,Theft,589,65.47,No,Approved,17395.65
CLM000095,CUST018436,POL0099889,44,Male,West,Home,3578.78,63322.93,37074.23,Medical,457,52.72,No,Approved,34818.02
CLM000096,CUST017553,POL0646433,46,Female,East,Health,2661.21,52115.28,13678.37,Accident,568,89.17,Yes,Under Review,11270.43
CLM000097,CUST009410,POL0344256,77,Male,North,Health,1547.37,97596.41,40646.52,Theft,581,19.05,No,Rejected,34782.35
CLM000098,CUST001722,POL0859670,70,Male,North,Life,3861.15,27335.36,19864.26,Property,497,60.9,No,Approved,18935.8
CLM000099,CUST010301,POL0565127,71,Male,North,Health,752.32,89012.12,37214.13,Property,754,91.41,Yes,Under Review,23298.52
CLM000100,CUST019663,POL0138364,41,Male,North,Auto,4800.44,26955.48,18644.84,Theft,509,65.45,No,Approved,9961.17
CLM000101,CUST017424,POL0311968,73,Male,West,Auto,665.96,22183.28,39772.9,Accident,467,41.14,No,Approved,35999.2
CLM000102,CUST010307,POL0437082,46,Male,West,Home,1453.58,98367.71,8463.06,Property,467,27.75,No,Approved,8395.36
CLM000103,CUST016220,POL0405857,79,Male,West,Home,1324.42,37153.71,2208.83,Theft,629,8.67,No,Approved,1917.14
CLM000104,CUST004623,POL0094518,69,Male,West,Auto,756.45,35823.3,35980.59,Accident,641,38.93,No,Approved,25625.32
CLM000105,CUST001408,POL0181604,44,Male,North,Life,2613.98,60377.68,30722.06,Theft,639,12.49,No,Approved,17720.91
CLM000106,CUST002485,POL0327403,75,Male,West,Auto,2454.31,9746.0,42955.78,Accident,524,26.49,No,Approved,34112.39
CLM000107,CUST012596,POL0893226,44,Male,North,Health,1044.84,12684.44,42470.56,Property,374,87.97,Yes,Under Review,33853.44
CLM000108,CUST000815,POL0352614,55,Male,East,Health,3228.53,62734.59,27427.42,Property,454,25.78,No,Approved,15705.65
CLM000109,CUST005581,POL0492788,66,Female,North,Life,4552.96,72019.17,3797.5,Medical,590,27.69,No,Approved,3276.73
CLM000110,CUST016042,POL0631710,58,Female,North,Auto,3086.07,67630.78,8666.16,Medical,344,73.54,No,Approved,8233.85
CLM000111,CUST019080,POL0617301,60,Female,North,Health,3730.24,36460.04,37733.53,Theft,455,11.92,No,Approved,37506.42
CLM000112,CUST001908,POL0495818,18,Male,North,Health,625.89,30237.4,22262.68,Theft,653,65.48,No,Approved,21352.79
CLM000113,CUST002446,POL0693222,70,Female,East,Home,2138.45,10575.66,46169.59,Accident,393,98.81,Yes,Under Review,42747.09
CLM000114,CUST015489,POL0073986,57,Female,North,Life,2945.58,43880.09,24098.4,Property,346,71.32,No,Approved,17716.51
CLM000115,CUST012685,POL0323455,55,Male,East,Life,1166.39,75092.97,26926.27,Accident,473,41.02,No,Rejected,20505.77
CLM000116,CUST011350,POL0115257,76,Female,North,Auto,4349.34,15449.44,35303.09,Theft,753,24.12,No,Approved,30360.42
CLM000117,CUST019656,POL0671535,19,Female,North,Home,4167.58,17844.25,17540.1,Accident,362,94.19,Yes,Under Review,16300.37
CLM000118,CUST001878,POL0740685,44,Female,East,Home,1116.85,75760.94,27403.57,Accident,498,90.19,Yes,Under Review,21038.4
CLM000119,CUST013886,POL0152344,36,Male,East,Health,4953.66,63687.64,11981.67,Theft,684,88.42,Yes,Under Review,7496.05
CLM000120,CUST017213,POL0702575,29,Female,South,Health,4400.02,82505.87,21379.25,Medical,714,48.68,No,Approved,14971.97
CLM000121,CUST008599,POL0030752,57,Male,South,Health,2969.03,54097.89,22058.49,Accident,833,91.85,Yes,Under Review,15833.62
CLM000122,CUST008478,POL0275269,19,Female,East,Health,3354.92,94296.31,31788.04,Accident,425,73.53,No,Rejected,25888.53
CLM000123,CUST015951,POL0522962,60,Female,North,Auto,3281.97,22989.93,1748.78,Property,487,47.39,No,Rejected,1678.21
CLM000124,CUST002736,POL0479488,75,Female,North,Home,3176.46,13584.16,30916.91,Accident,612,93.27,Yes,Under Review,29608.3
CLM000125,CUST017626,POL0175242,69,Female,West,Health,1783.48,26712.04,35877.25,Theft,673,18.51,No,Rejected,23871.22
CLM000126,CUST013099,POL0638313,35,Female,North,Auto,2808.66,39437.08,9796.24,Property,580,63.45,No,Approved,5776.69
CLM000127,CUST015862,POL0585154,39,Male,West,Life,639.71,72663.85,46164.78,Theft,361,22.0,No,Approved,35497.16
CLM000128,CUST003800,POL0720601,18,Female,South,Auto,3087.45,33911.51,47326.05,Property,471,84.63,Yes,Under Review,30131.34
CLM000129,CUST008469,POL0321550,62,Female,West,Health,2646.28,9784.53,24397.19,Accident,663,59.29,No,Approved,19187.99
CLM000130,CUST005058,POL0222978,32,Male,East,Life,2431.12,84228.76,25859.04,Theft,512,68.85,No,Rejected,18320.22
CLM000131,CUST017468,POL0798374,70,Female,West,Health,1613.45,17525.82,46955.58,Theft,315,68.48,No,Approved,33441.14
CLM000132,CUST015330,POL0209010,61,Female,East,Home,381.74,24837.07,3752.19,Medical,724,82.55,Yes,Under Review,2820.59
CLM000133,CUST018272,POL0392792,36,Female,East,Auto,3443.22,50423.0,37033.96,Medical,553,17.74,No,Approved,30554.93
CLM000134,CUST009282,POL0297909,33,Male,North,Health,4615.15,91848.57,21457.84,Medical,477,90.87,Yes,Under Review,11807.94
CLM000135,CUST010635,POL0841638,79,Male,South,Health,1693.25,46778.77,23105.85,Accident,374,83.63,Yes,Under Review,22397.0
CLM000136,CUST010408,POL0094779,48,Female,West,Home,555.64,30899.72,8645.19,Theft,482,62.18,No,Rejected,6977.69
CLM000137,CUST008562,POL0003311,48,Female,North,Health,2983.97,66686.34,23205.03,Accident,700,53.78,No,Approved,21123.64
CLM000138,CUST000976,POL0574117,31,Male,West,Health,1284.83,67464.11,9292.69,Accident,596,53.85,No,Approved,9170.78
CLM000139,CUST016996,POL0810686,64,Male,South,Life,3761.49,53457.71,23997.14,Theft,676,74.34,No,Rejected,12742.77
CLM000140,CUST005134,POL0261212,24,Male,West,Home,4352.88,65687.53,15699.8,Medical,542,96.87,Yes,Under Review,10532.15
CLM000141,CUST017532,POL0763429,53,Female,East,Health,3365.23,82574.91,25801.63,Property,422,48.65,No,Rejected,22266.27
CLM000142,CUST001489,POL0033142,77,Male,South,Health,3598.38,55961.06,40189.49,Property,522,46.55,No,Approved,26197.22
CLM000143,CUST009322,POL0586931,52,Male,East,Life,1065.07,51410.14,38481.14,Accident,341,76.55,Yes,Under Review,36556.73
CLM000144,CUST009210,POL0560356,41,Female,South,Home,3898.51,41106.84,19086.17,Medical,788,0.92,No,Rejected,16613.66
CLM000145,CUST015666,POL0301974,62,Female,West,Life,3310.99,94723.66,34413.37,Accident,618,77.63,Yes,Under Review,24897.06
CLM000146,CUST006007,POL0723906,20,Female,West,Life,1903.21,28620.59,4292.16,Medical,390,63.84,No,Approved,3445.81
CLM000147,CUST001666,POL0020326,60,Male,North,Health,2743.78,49043.14,42293.39,Medical,521,76.56,Yes,Under Review,23808.48
CLM000148,CUST008671,POL0019001,31,Female,East,Health,4823.12,43151.33,13816.79,Property,815,37.38,No,Approved,12381.45
CLM000149,CUST006811,POL0373032,29,Female,West,Life,4722.86,73301.17,2023.14,Accident,800,3.55,No,Approved,1212.9
CLM000150,CUST008483,POL0348752,43,Female,West,Auto,3919.74,81251.46,45517.78,Property,488,66.86,No,Approved,41387.51
CLM000151,CUST011355,POL0422467,42,Female,North,Auto,476.72,84245.58,38264.37,Property,451,26.72,No,Approved,22493.75
CLM000152,CUST017642,POL0446530,49,Female,South,Health,2820.4,87100.32,7686.92,Medical,426,34.38,No,Rejected,5759.99
CLM000153,CUST007510,POL0347649,29,Male,West,Auto,1095.88,74644.35,33361.2,Property,720,96.37,Yes,Under Review,25160.06
CLM000154,CUST002209,POL0037547,49,Male,West,Home,1610.59,55646.92,15211.13,Property,707,54.46,No,Approved,12404.4
CLM000155,CUST013495,POL0438413,29,Female,East,Auto,4809.05,23441.95,22565.43,Accident,592,5.54,No,Approved,21636.76
CLM000156,CUST003044,POL0025958,74,Male,West,Life,4808.85,27771.8,36800.38,Property,506,54.66,No,Approved,26613.09
CLM000157,CUST018437,POL0506684,61,Female,South,Home,2821.2,32261.26,29938.01,Property,739,62.85,No,Approved,27099.91
CLM000158,CUST011948,POL0124092,72,Female,North,Life,1387.04,77786.98,38820.72,Theft,317,33.04,No,Approved,26863.34
CLM000159,CUST010083,POL0005490,26,Female,South,Home,1545.29,66702.19,26240.9,Property,362,95.01,Yes,Under Review,25258.33
CLM000160,CUST009872,POL0010515,78,Female,East,Life,697.13,76616.55,4431.66,Accident,404,59.93,No,Approved,2979.91
CLM000161,CUST007996,POL0836014,19,Female,East,Home,3129.43,82077.37,45877.25,Theft,509,84.66,Yes,Under Review,24510.57
CLM000162,CUST009697,POL0066491,26,Female,South,Home,2390.24,30461.11,46579.88,Accident,398,71.71,No,Approved,41030.63
CLM000163,CUST000817,POL0332316,62,Female,West,Auto,2273.26,50494.3,19312.98,Theft,359,39.52,No,Approved,10717.41
CLM000164,CUST014192,POL0723941,36,Male,North,Life,4791.01,31966.1,40175.79,Accident,362,20.68,No,Approved,33305.72
CLM000165,CUST013068,POL0314727,78,Female,West,Health,2331.06,81668.63,15257.09,Property,688,28.07,No,Approved,11801.4
CLM000166,CUST005290,POL0063342,45,Male,South,Health,4337.61,20147.5,11453.91,Accident,399,93.88,Yes,Under Review,9167.1
CLM000167,CUST005189,POL0460676,56,Male,North,Health,2901.22,31322.49,6020.64,Medical,332,50.7,No,Approved,3742.29
CLM000168,CUST013304,POL0764306,60,Female,East,Health,3554.05,40881.61,46535.96,Medical,320,9.1,No,Approved,24305.93
CLM000169,CUST017476,POL0528157,71,Female,North,Life,1112.26,74689.25,39207.34,Property,615,4.41,No,Approved,23730.86
CLM000170,CUST006452,POL0875361,23,Male,East,Health,4549.67,75775.31,31313.38,Accident,346,57.3,No,Approved,22868.16
CLM000171,CUST011552,POL0453326,75,Female,North,Health,899.8,86508.92,39658.65,Accident,544,53.03,No,Approved,38232.39
CLM000172,CUST016603,POL0631304,22,Female,East,Auto,4918.91,98558.87,47813.05,Theft,389,85.86,Yes,Under Review,38636.09
CLM000173,CUST006278,POL0796806,62,Male,South,Home,3647.6,37664.43,31278.98,Accident,378,82.0,Yes,Under Review,20904.9
CLM000174,CUST002061,POL0277826,52,Male,North,Health,1042.43,44492.53,17477.3,Accident,474,80.02,Yes,Under Review,14212.33
CLM000175,CUST006243,POL0256138,28,Female,South,Auto,4228.04,47954.54,5630.71,Property,305,34.75,No,Approved,4835.6
CLM000176,CUST012704,POL0290298,31,Male,South,Home,3556.41,31733.12,47359.07,Medical,534,61.71,No,Approved,32904.02
CLM000177,CUST010569,POL0344296,38,Female,South,Auto,3750.13,40512.47,46869.37,Accident,515,94.37,Yes,Under Review,27662.28
CLM000178,CUST009452,POL0008714,30,Male,West,Health,2568.88,14578.46,15984.08,Medical,586,80.8,Yes,Under Review,12678.32
CLM000179,CUST016427,POL0476108,75,Male,North,Life,3897.73,24321.52,27344.25,Property,618,65.95,No,Approved,21037.56
CLM000180,CUST019183,POL0053059,76,Male,West,Health,953.88,76049.9,42967.17,Medical,779,73.05,No,Approved,35635.57
CLM000181,CUST015684,POL0533622,67,Male,West,Health,4419.66,45893.35,29925.88,Theft,481,27.18,No,Approved,26663.4
CLM000182,CUST014927,POL0768659,29,Male,North,Auto,3032.25,98644.7,16601.24,Medical,655,12.51,No,Approved,15693.44
CLM000183,CUST009015,POL0344260,18,Male,East,Life,783.82,38277.52,49918.57,Theft,804,30.53,No,Approved,41022.55
CLM000184,CUST001078,POL0374552,43,Male,North,Health,4671.67,95682.11,24284.76,Medical,308,31.54,No,Approved,21012.15
CLM000185,CUST006914,POL0760680,33,Male,North,Health,1105.9,32023.21,10540.32,Medical,316,60.58,No,Approved,6273.73
CLM000186,CUST012002,POL0659575,66,Female,East,Health,1333.51,44776.76,7373.09,Medical,441,41.73,No,Approved,3962.29
CLM000187,CUST013878,POL0010009,64,Male,South,Life,2687.32,88444.75,42771.04,Property,583,36.03,No,Rejected,40865.34
CLM000188,CUST010654,POL0105001,37,Female,East,Life,4443.37,48661.81,27005.79,Property,828,47.05,No,Rejected,14634.53
CLM000189,CUST014224,POL0622425,60,Female,East,Life,1158.31,23730.27,7304.7,Medical,727,43.04,No,Approved,3734.68
CLM000190,CUST003747,POL0065634,54,Female,North,Home,908.69,50567.43,19167.51,Accident,729,73.34,No,Approved,11156.33
CLM000191,CUST006792,POL0492776,61,Female,East,Auto,337.77,42976.78,42295.29,Property,823,80.58,Yes,Under Review,31947.49
CLM000192,CUST015016,POL0747126,36,Female,North,Health,3827.45,64453.07,49280.35,Medical,839,67.06,No,Approved,47970.95
CLM000193,CUST019722,POL0481792,26,Female,West,Health,1721.96,95471.71,26678.13,Accident,816,78.43,Yes,Under Review,18052.19
CLM000194,CUST014095,POL0472450,26,Female,South,Health,2012.52,86935.57,36945.38,Theft,468,22.5,No,Approved,24361.56
CLM000195,CUST001432,POL0061833,38,Male,West,Health,2387.7,68087.43,30757.49,Property,791,16.3,No,Approved,24759.99
CLM000196,CUST017075,POL0409009,49,Male,West,Auto,1499.05,49181.78,33013.77,Accident,469,26.05,No,Approved,31522.47
CLM000197,CUST019396,POL0014439,21,Male,West,Life,4979.14,75336.56,22546.32,Accident,450,31.55,No,Approved,12117.24
CLM000198,CUST013474,POL0791664,75,Female,West,Life,1633.8,11495.49,34985.78,Theft,439,22.52,No,Approved,32199.87
CLM000199,CUST018864,POL0405308,56,Male,East,Life,3278.71,58910.5,21272.27,Accident,616,34.0,No,Approved,13689.96
CLM000200,CUST019687,POL0000259,77,Male,North,Life,4063.61,92829.39,8005.85,Theft,445,39.93,No,Approved,5424.17
CLM000201,CUST013368,POL0256880,55,Female,West,Life,4045.14,87256.62,47916.83,Accident,557,50.33,No,Approved,37508.93
CLM000202,CUST017848,POL0154818,39,Female,South,Home,1311.86,65971.17,29741.13,Property,537,68.15,No,Approved,21689.83
CLM000203,CUST017449,POL0329574,62,Female,North,Life,3063.71,15803.97,2123.9,Accident,718,71.68,No,Approved,1322.55
CLM000204,CUST004958,POL0782570,40,Male,West,Home,4122.22,29759.37,40094.88,Property,705,68.02,No,Approved,38917.07
CLM000205,CUST002585,POL0289008,56,Female,South,Life,815.68,64629.48,13491.84,Medical,746,41.1,No,Approved,9222.36
CLM000206,CUST019695,POL0689234,53,Male,North,Life,2901.77,9586.04,30998.47,Medical,334,78.3,Yes,Under Review,22904.44
CLM000207,CUST016255,POL0002738,25,Male,East,Auto,4668.76,35521.54,17441.28,Theft,651,19.75,No,Approved,16686.77
CLM000208,CUST008720,POL0740996,37,Male,South,Auto,4206.58,20965.2,42254.55,Theft,459,82.8,Yes,Under Review,41927.72
CLM000209,CUST008896,POL0487608,26,Male,North,Life,3000.3,53770.92,32058.8,Theft,480,38.11,No,Approved,18480.47
CLM000210,CUST000294,POL0742465,31,Female,South,Auto,4781.06,67715.43,15322.72,Property,605,21.23,No,Approved,10563.95
CLM000211,CUST011901,POL0304189,25,Male,South,Life,907.05,57524.52,10237.14,Theft,527,80.82,Yes,Under Review,9091.72
CLM000212,CUST018201,POL0042716,51,Male,East,Life,2379.62,23868.46,47414.78,Medical,824,18.81,No,Rejected,31903.76
CLM000213,CUST015889,POL0163160,43,Female,North,Auto,1017.12,98341.75,38211.54,Theft,694,59.4,No,Approved,24210.74
