log_id,Customer_ID,login_time,device_id,new_device_flag,ip_address,location_city,location_unusual_flag,network_type,authentication_result,failed_attempts_before_success,off_hours_login_flag
AUTH-000066,CUST000032,2026-09-04 21:35:48,DEV-C8FE21DA,0,193.20.153.62,Karasburg,0,Mobile Data,Success,0,0
AUTH-000067,CUST000032,2026-09-16 18:44:15,DEV-C8FE21DA,0,123.137.175.145,Luderitz,0,Mobile Data,Success,0,0
AUTH-000068,CUST000032,2026-03-24 17:44:29,DEV-C8FE21DA,0,155.229.138.32,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000069,CUST000033,2026-05-09 11:12:13,DEV-F2FBDAA3,0,99.246.184.118,Henties Bay,1,Public Wi-Fi,Success,0,0
AUTH-000070,CUST000034,2026-07-28 15:00:45,DEV-3C0ED16B,1,195.196.166.98,Keetmanshoop,1,Public Wi-Fi,Success,0,0
AUTH-000071,CUST000035,2026-05-28 09:55:00,DEV-16849EF3,0,13.234.20.201,Luderitz,0,Home Wi-Fi,Success,0,0
AUTH-000072,CUST000036,2026-08-05 09:52:04,DEV-590D273E,0,41.218.169.179,Henties Bay,0,Mobile Data,Failed then Success,2,0
AUTH-000073,CUST000036,2026-04-26 08:15:07,DEV-590D273E,0,169.165.91.184,Henties Bay,0,Mobile Data,Success,0,0
AUTH-000074,CUST000038,2026-07-13 15:55:37,DEV-6428DA80,0,195.130.67.90,Gobabis,0,Mobile Data,Success,0,0
AUTH-000075,CUST000038,2026-04-02 12:16:42,DEV-EA67C7D1,1,188.51.11.170,Henties Bay,1,Home Wi-Fi,Failed then Success,4,0
AUTH-000076,CUST000039,2026-06-05 13:18:45,DEV-127972D3,1,202.51.117.175,Keetmanshoop,0,Mobile Data,Success,0,0
AUTH-000077,CUST000039,2026-05-01 12:27:07,DEV-E5901A19,1,137.81.3.248,Luderitz,0,Mobile Data,Failed then Success,2,0
AUTH-000078,CUST000040,2026-06-04 15:28:07,DEV-F47E8E80,0,170.161.196.92,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000079,CUST000041,2026-06-23 22:56:27,DEV-90C801F9,0,54.140.109.51,Oshakati,1,Mobile Data,Success,0,1
AUTH-000080,CUST000041,2026-04-18 06:48:43,DEV-90C801F9,0,48.10.68.251,Tsumeb,1,Public Wi-Fi,Success,0,0
AUTH-000081,CUST000041,2026-04-08 19:40:52,DEV-4319E1B4,1,6.157.30.234,Karasburg,1,Public Wi-Fi,Success,0,0
AUTH-000082,CUST000041,2026-09-01 19:44:31,DEV-D564B858,1,175.46.57.143,Henties Bay,0,Home Wi-Fi,Failed then Success,3,0
AUTH-000083,CUST000041,2026-07-23 18:55:32,DEV-2EB9D8E9,0,192.135.94.240,Henties Bay,0,Home Wi-Fi,Failed then Success,3,0
AUTH-000084,CUST000042,2026-05-06 07:13:17,DEV-083EB8CB,0,221.16.194.123,Oshakati,0,Public Wi-Fi,Success,0,0
AUTH-000085,CUST000042,2026-09-14 13:45:10,DEV-E247CB2C,0,66.97.174.250,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000086,CUST000042,2026-04-21 23:41:53,DEV-37F0A72E,0,172.78.221.9,Oshakati,0,Home Wi-Fi,Success,0,1
AUTH-000087,CUST000042,2026-04-22 13:29:35,DEV-E247CB2C,0,72.174.184.67,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000088,CUST000043,2026-08-01 19:21:59,DEV-CEBD4D3F,0,216.243.161.155,Gobabis,0,Home Wi-Fi,Success,0,0
AUTH-000089,CUST000044,2026-06-07 10:28:34,DEV-2667A408,1,9.0.171.126,Henties Bay,1,Mobile Data,Success,0,0
AUTH-000090,CUST000045,2026-03-27 18:14:54,DEV-53040B7A,0,67.90.129.108,Walvis Bay,1,Public Wi-Fi,Success,0,0
AUTH-000091,CUST000045,2026-07-12 10:31:02,DEV-53040B7A,0,39.70.7.186,Oshakati,0,Home Wi-Fi,Success,0,0
AUTH-000092,CUST000046,2026-05-12 10:04:30,DEV-2FEB3E71,0,195.52.222.148,Swakopmund,1,Public Wi-Fi,Success,0,0
AUTH-000093,CUST000046,2026-04-19 18:20:40,DEV-2FEB3E71,0,176.255.47.160,Keetmanshoop,0,Mobile Data,Failed then Success,3,0
AUTH-000094,CUST000047,2026-05-08 09:48:40,DEV-1FCD3FE2,0,97.47.201.165,Karasburg,0,Home Wi-Fi,Failed then Success,3,0
AUTH-000095,CUST000048,2026-07-29 10:15:33,DEV-248AC9ED,0,19.169.71.176,Oshakati,1,Public Wi-Fi,Success,0,0
AUTH-000096,CUST000048,2026-05-19 10:14:29,DEV-248AC9ED,0,200.220.47.1,Ondangwa,1,VPN,Success,0,0
AUTH-000097,CUST000048,2026-07-30 08:28:22,DEV-248AC9ED,0,142.159.163.133,Rundu,0,Mobile Data,Success,0,0
AUTH-000098,CUST000048,2026-07-27 21:06:15,DEV-248AC9ED,0,157.6.32.66,Katima Mulilo,0,Home Wi-Fi,Success,0,0
AUTH-000099,CUST000050,2026-07-10 22:58:38,DEV-4F2222D3,0,217.52.66.149,Swakopmund,0,Mobile Data,Success,0,1
AUTH-000100,CUST000050,2026-05-28 10:40:06,DEV-B41A3DBD,0,211.80.178.33,Rundu,1,Home Wi-Fi,Success,0,0
AUTH-000101,CUST000050,2026-08-27 16:47:26,DEV-64F73BB3,1,189.187.73.241,Katima Mulilo,1,VPN,Success,0,0
AUTH-000102,CUST000050,2026-06-21 11:16:58,DEV-4F2222D3,0,198.134.184.146,Walvis Bay,0,Mobile Data,Success,0,0
AUTH-000103,CUST000051,2026-06-27 01:55:43,DEV-80589AB0,0,28.211.57.179,Henties Bay,0,Home Wi-Fi,Success,0,1
AUTH-000104,CUST000052,2026-08-03 17:43:47,DEV-24026CDE,0,147.241.221.218,Katima Mulilo,0,Public Wi-Fi,Success,0,0
AUTH-000105,CUST000052,2026-08-08 03:58:39,DEV-24026CDE,0,210.183.247.210,Katima Mulilo,0,Mobile Data,Success,0,1
AUTH-000106,CUST000053,2026-05-26 22:02:19,DEV-145128ED,0,111.201.63.108,Keetmanshoop,0,Home Wi-Fi,Success,0,1
AUTH-000107,CUST000053,2026-07-11 19:37:47,DEV-FED863BD,0,200.46.129.227,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000108,CUST000054,2026-04-03 17:13:28,DEV-7C106964,0,100.186.232.137,Gobabis,0,VPN,Success,0,0
AUTH-000109,CUST000055,2026-07-17 12:07:54,DEV-B2C1D0E2,0,178.132.70.231,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000110,CUST000055,2026-03-29 03:15:08,DEV-A5EB2D37,0,165.110.165.123,Keetmanshoop,0,Home Wi-Fi,Success,0,1
AUTH-000111,CUST000055,2026-08-13 13:21:49,DEV-7A5236BB,1,199.75.158.0,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000112,CUST000055,2026-08-24 14:51:11,DEV-73486542,1,15.243.243.160,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000113,CUST000056,2026-06-05 02:03:08,DEV-EEAA4E2F,0,184.202.32.108,Karasburg,0,Home Wi-Fi,Success,0,1
AUTH-000114,CUST000056,2026-07-16 20:32:14,DEV-EEAA4E2F,0,210.95.197.23,Karasburg,0,Mobile Data,Success,0,0
AUTH-000115,CUST000056,2026-06-18 06:03:30,DEV-EEAA4E2F,0,130.104.40.61,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000116,CUST000057,2026-09-06 00:04:08,DEV-E6AF41E3,0,173.43.45.48,Rundu,0,VPN,Success,0,1
AUTH-000117,CUST000058,2026-06-20 09:54:41,DEV-517EE5BB,0,56.189.119.202,Oshakati,0,Home Wi-Fi,Success,0,0
AUTH-000118,CUST000058,2026-07-20 19:46:06,DEV-984A24B9,1,202.200.174.183,Oshakati,0,Mobile Data,Success,0,0
AUTH-000119,CUST000059,2026-05-19 08:53:05,DEV-429CA42D,0,219.154.102.109,Rundu,0,Mobile Data,Success,0,0
AUTH-000120,CUST000060,2026-03-31 09:26:22,DEV-42931A4C,0,203.241.183.1,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000121,CUST000060,2026-07-25 01:09:42,DEV-956AF674,0,222.93.158.45,Oshakati,0,Mobile Data,Success,0,1
AUTH-000122,CUST000061,2026-06-08 06:38:59,DEV-9CD56481,0,219.224.248.52,Luderitz,1,Public Wi-Fi,Success,0,0
AUTH-000123,CUST000061,2026-07-20 00:36:42,DEV-339258E4,1,142.53.222.230,Ondangwa,1,Home Wi-Fi,Success,0,1
AUTH-000124,CUST000062,2026-07-06 17:19:46,DEV-EB0D1CB7,0,82.92.59.102,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000125,CUST000062,2026-05-21 19:31:38,DEV-C2B70A3A,0,180.112.253.94,Henties Bay,1,Home Wi-Fi,Success,0,0
AUTH-000126,CUST000063,2026-05-20 15:02:14,DEV-DE23F074,1,150.148.137.185,Ondangwa,0,Home Wi-Fi,Success,0,0
AUTH-000127,CUST000063,2026-05-04 15:20:07,DEV-7D52B20C,1,152.194.169.217,Ondangwa,0,Home Wi-Fi,Success,0,0
AUTH-000128,CUST000064,2026-06-21 17:04:25,DEV-B80B2B73,0,203.106.143.248,Rundu,0,Home Wi-Fi,Success,0,0
AUTH-000129,CUST000065,2026-06-08 19:18:07,DEV-1A9CF816,1,131.15.56.161,Keetmanshoop,0,Mobile Data,Success,0,0
AUTH-000130,CUST000065,2026-04-23 08:27:54,DEV-A83BDCEC,1,173.254.14.89,Luderitz,0,Home Wi-Fi,Success,0,0
AUTH-000131,CUST000065,2026-07-26 16:49:10,DEV-FB82D2D5,1,211.72.123.106,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000132,CUST000065,2026-07-19 10:15:06,DEV-2A99ED5E,1,150.144.84.236,Tsumeb,1,VPN,Success,0,0
AUTH-000133,CUST000066,2026-04-01 20:48:36,DEV-D812CB50,0,30.5.131.4,Tsumeb,0,Mobile Data,Success,0,0
AUTH-000134,CUST000066,2026-07-23 16:09:28,DEV-1427BBC1,1,222.101.196.2,Oshakati,0,Mobile Data,Success,0,0
AUTH-000135,CUST000067,2026-06-20 20:02:03,DEV-88E69F63,1,30.119.34.59,Luderitz,1,Public Wi-Fi,Success,0,0
AUTH-000136,CUST000067,2026-06-28 07:28:58,DEV-BBE24BCA,0,7.143.150.116,Walvis Bay,1,Public Wi-Fi,Success,0,0
AUTH-000137,CUST000067,2026-06-30 16:45:05,DEV-2AB29955,1,179.226.51.129,Gobabis,1,Public Wi-Fi,Success,0,0
AUTH-000138,CUST000067,2026-06-17 17:23:58,DEV-647F0BBE,1,210.194.70.249,Oshakati,0,Mobile Data,Failed then Success,3,0
AUTH-000139,CUST000068,2026-07-22 18:18:16,DEV-29CFDD24,0,190.102.48.233,Tsumeb,1,VPN,Success,0,0
AUTH-000140,CUST000068,2026-05-24 10:38:45,DEV-29CFDD24,0,187.6.67.220,Henties Bay,0,Mobile Data,Success,0,0
AUTH-000141,CUST000068,2026-05-22 08:41:42,DEV-454D1349,1,78.110.26.236,Walvis Bay,0,Home Wi-Fi,Success,0,0
AUTH-000142,CUST000068,2026-07-20 12:14:08,DEV-B9286849,1,205.89.93.199,Oshakati,1,Public Wi-Fi,Success,0,0
AUTH-000143,CUST000068,2026-05-09 16:56:49,DEV-29CFDD24,0,199.78.242.141,Tsumeb,1,VPN,Success,0,0
AUTH-000144,CUST000069,2026-05-13 03:43:46,DEV-5A102186,0,208.248.26.34,Henties Bay,0,Home Wi-Fi,Success,0,1
AUTH-000145,CUST000069,2026-07-01 15:51:50,DEV-5A102186,0,171.40.159.175,Walvis Bay,0,Mobile Data,Success,0,0
AUTH-000146,CUST000070,2026-06-28 18:32:33,DEV-9F7C9E21,0,165.27.235.128,Ondangwa,0,Mobile Data,Success,0,0
AUTH-000147,CUST000071,2026-09-10 17:35:59,DEV-BC4B3A7E,0,166.176.174.14,Rundu,0,Home Wi-Fi,Success,0,0
AUTH-000148,CUST000072,2026-04-09 19:05:58,DEV-F9F02CE7,0,35.29.55.3,Gobabis,0,Home Wi-Fi,Success,0,0
AUTH-000149,CUST000073,2026-08-08 17:14:01,DEV-19FF903D,0,206.230.114.221,Henties Bay,0,Home Wi-Fi,Failed then Success,1,0
AUTH-000150,CUST000074,2026-04-07 10:48:45,DEV-114AFE44,1,169.168.197.151,Henties Bay,0,Home Wi-Fi,Success,0,0
AUTH-000151,CUST000074,2026-08-04 19:07:49,DEV-5C9AF9F0,1,135.3.194.247,Walvis Bay,0,Home Wi-Fi,Success,0,0
AUTH-000152,CUST000075,2026-04-29 09:53:57,DEV-146AFCA5,1,168.175.69.124,Henties Bay,0,Home Wi-Fi,Failed then Success,2,0
AUTH-000153,CUST000075,2026-07-29 03:15:36,DEV-B8F67897,1,163.81.2.133,Swakopmund,0,Home Wi-Fi,Success,0,1
AUTH-000154,CUST000077,2026-06-13 06:24:55,DEV-37717713,1,158.59.221.153,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000155,CUST000077,2026-05-08 08:22:15,DEV-E8F66884,0,40.204.66.138,Keetmanshoop,0,Mobile Data,Success,0,0
AUTH-000156,CUST000077,2026-07-22 03:52:41,DEV-05DFF69A,1,178.220.220.184,Karasburg,0,Home Wi-Fi,Success,0,1
AUTH-000157,CUST000077,2026-05-29 08:45:49,DEV-FAFB893C,0,204.76.99.5,Luderitz,0,Home Wi-Fi,Success,0,0
AUTH-000158,CUST000077,2026-04-13 15:32:25,DEV-E8F66884,0,114.208.7.208,Luderitz,0,Home Wi-Fi,Success,0,0
AUTH-000159,CUST000078,2026-07-30 07:55:41,DEV-1CF59109,0,206.174.42.143,Oshakati,0,Home Wi-Fi,Success,0,0
AUTH-000160,CUST000079,2026-04-11 11:31:44,DEV-65CDA2C3,1,9.232.233.186,Henties Bay,0,Home Wi-Fi,Failed then Success,4,0
AUTH-000161,CUST000079,2026-09-05 11:34:18,DEV-A708C7E8,1,128.187.92.243,Luderitz,1,Mobile Data,Success,0,0
AUTH-000162,CUST000080,2026-08-20 20:02:46,DEV-C939B774,0,151.233.120.42,Tsumeb,0,VPN,Success,0,0
AUTH-000163,CUST000080,2026-03-27 08:42:40,DEV-8B713E95,0,191.17.6.11,Ondangwa,0,Home Wi-Fi,Success,0,0
AUTH-000164,CUST000080,2026-05-02 23:15:49,DEV-C939B774,0,194.223.167.75,Oshakati,0,Public Wi-Fi,Failed then Success,2,1
AUTH-000165,CUST000080,2026-05-20 17:28:48,DEV-8B713E95,0,37.61.92.244,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000166,CUST000080,2026-07-31 06:47:11,DEV-C939B774,0,219.147.189.220,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000167,CUST000081,2026-07-01 15:44:58,DEV-231645AE,0,36.172.132.11,Oshakati,1,Public Wi-Fi,Success,0,0
AUTH-000168,CUST000081,2026-07-01 03:42:22,DEV-DE1E90C8,0,113.5.41.29,Luderitz,0,Public Wi-Fi,Success,0,1
AUTH-000169,CUST000082,2026-05-28 13:07:12,DEV-12F19D54,0,155.36.233.228,Walvis Bay,0,Home Wi-Fi,Success,0,0
AUTH-000170,CUST000083,2026-06-27 10:39:56,DEV-1E171CE7,1,209.206.99.186,Walvis Bay,1,Public Wi-Fi,Success,0,0
AUTH-000171,CUST000083,2026-04-24 03:41:04,DEV-497AA794,1,207.78.248.167,Oshakati,0,Home Wi-Fi,Success,0,1
AUTH-000172,CUST000084,2026-05-27 10:27:32,DEV-9815DF1B,0,180.74.124.224,Henties Bay,0,Home Wi-Fi,Failed then Success,3,0
AUTH-000173,CUST000084,2026-04-04 15:54:05,DEV-F7794E1D,0,141.3.120.18,Walvis Bay,0,Home Wi-Fi,Success,0,0
AUTH-000174,CUST000084,2026-06-15 11:37:37,DEV-F7794E1D,0,190.100.167.84,Henties Bay,0,Home Wi-Fi,Success,0,0
AUTH-000175,CUST000085,2026-04-24 22:41:49,DEV-B2618C12,0,22.241.204.162,Oshakati,0,Mobile Data,Failed then Success,3,1
AUTH-000176,CUST000085,2026-05-27 13:51:51,DEV-B2618C12,0,149.79.73.137,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000177,CUST000085,2026-06-24 10:20:55,DEV-B2618C12,0,174.15.179.163,Ondangwa,0,Mobile Data,Success,0,0
AUTH-000178,CUST000085,2026-08-31 09:17:28,DEV-663F76C7,1,217.14.210.42,Rundu,1,VPN,Success,0,0
AUTH-000179,CUST000085,2026-07-06 11:52:20,DEV-B2618C12,0,150.254.27.207,Karasburg,1,Public Wi-Fi,Success,0,0
AUTH-000180,CUST000086,2026-04-14 08:25:32,DEV-98BFE3FA,0,189.92.204.176,Ondangwa,0,Mobile Data,Failed then Success,3,0
AUTH-000181,CUST000086,2026-06-22 21:18:34,DEV-946A7C7F,1,201.89.170.115,Ondangwa,0,Home Wi-Fi,Success,0,0
AUTH-000182,CUST000087,2026-07-16 07:25:03,DEV-8FFE5B54,0,62.236.209.30,Luderitz,0,Mobile Data,Success,0,0
AUTH-000183,CUST000088,2026-06-30 09:08:06,DEV-0D533476,0,215.58.56.255,Henties Bay,0,Public Wi-Fi,Success,0,0
AUTH-000184,CUST000088,2026-08-15 07:02:02,DEV-0D533476,0,178.148.105.239,Walvis Bay,0,Home Wi-Fi,Success,0,0
AUTH-000185,CUST000088,2026-04-12 16:10:25,DEV-8B8C2BCE,0,198.68.14.60,Walvis Bay,0,Mobile Data,Success,0,0
AUTH-000186,CUST000089,2026-06-16 15:30:52,DEV-064C2957,1,193.199.63.136,Luderitz,0,Mobile Data,Success,0,0
AUTH-000187,CUST000089,2026-06-06 06:38:30,DEV-AC42B13D,1,26.230.34.193,Karasburg,0,Mobile Data,Success,0,0
AUTH-000188,CUST000090,2026-08-09 05:10:33,DEV-284C4CAB,0,83.186.167.110,Walvis Bay,0,Home Wi-Fi,Success,0,1
AUTH-000189,CUST000090,2026-09-14 09:12:01,DEV-CD5C2972,0,145.67.218.123,Swakopmund,0,Home Wi-Fi,Success,0,0
AUTH-000190,CUST000090,2026-06-21 21:55:54,DEV-CA08EF7B,0,75.254.58.31,Henties Bay,0,Home Wi-Fi,Success,0,0
