Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score,Fraud_Risk_Score,Fraud_Flag,Claim_Status,Settlement_Amount,Claim_Date,Handled_By_Staff_ID,Identity_Changed_Flag,KYC_Update_Date,Days_KYC_To_Claim,Enriched_Address_Change_Flag,Enriched_Past_Claims_Count,Enriched_Witness_Present,Enriched_Police_Report_Filed,Enriched_Safety_Rating,Enriched_Days_Open,Enriched_Form_Defects_Count,Enriched_Claim_Channel
CLM000054,CUST004768,POL0463271,60,Male,South,Home,2960.29,60958.27,4466.67,Theft,672,4.31,No,Approved,2853.33,2024-12-06 20:35:26.261965,AGENT00162,0,,,0,0,0,0,94,8.413734798,7,Broker
CLM000055,CUST012668,POL0683757,49,Male,North,Home,975.13,91329.1,15981.17,Theft,639,55.67,No,Approved,14126.83,2026-04-05 20:35:26.261967,AGENT00827,0,,,0,2,0,0,31,11.47280546,5,Broker
CLM000056,CUST005619,POL0598850,52,Female,North,Health,479.9,99573.74,10801.69,Accident,358,15.96,No,Approved,6346.37,2025-07-14 20:35:26.261970,AGENT00513,1,2025-07-09 20:35:26.261970,5.0,0,0,0,1,63,9.108849148,6,Broker
CLM000057,CUST015679,POL0612437,27,Female,West,Health,318.7,60694.41,49170.18,Accident,489,32.51,No,Approved,28312.46,2026-06-22 20:35:26.261972,AGENT00250,1,2026-06-12 20:35:26.261972,10.0,0,0,0,1,82,8.720085418,5,Phone
CLM000058,CUST004095,POL0567952,65,Female,South,Health,1179.41,32318.25,17058.88,Property,500,14.63,No,Approved,15624.18,2026-06-12 20:35:26.261974,AGENT00573,0,,,1,1,0,0,92,8.546132608,2,Broker
CLM000059,CUST019804,POL0848905,40,Male,East,Auto,2902.19,95065.51,1260.07,Medical,836,42.39,No,Approved,778.31,2025-09-22 20:35:26.261976,AGENT00082,0,,,1,0,0,0,86,8.363596424,4,Broker
CLM000060,CUST008745,POL0545936,49,Female,South,Home,2560.76,89965.96,29665.1,Property,839,53.85,No,Approved,16769.66,2026-05-01 20:35:26.261979,AGENT00708,0,,,0,0,0,1,80,8.818858394,6,Broker
CLM000061,CUST005016,POL0013194,23,Male,South,Auto,1944.22,64191.39,32382.63,Property,697,49.24,No,Approved,17575.61,2025-04-01 20:35:26.261981,AGENT00337,0,,,0,2,0,0,74,12.05130062,9,Broker
CLM000062,CUST003416,POL0011774,35,Male,North,Life,1971.05,53306.2,17007.41,Property,593,29.14,No,Approved,13101.45,2026-09-08 20:35:26.261983,AGENT00991,0,,,0,0,1,1,74,10.01215628,7,Phone
CLM000063,CUST001640,POL0269562,67,Male,West,Home,4183.23,12022.79,9049.02,Medical,665,61.14,No,Approved,8872.76,2024-11-27 20:35:26.261986,AGENT00391,0,,,1,0,0,1,70,7.758978864,4,Broker
CLM000064,CUST004263,POL0242222,24,Female,South,Health,4653.76,5685.38,28317.03,Property,832,18.9,No,Approved,17505.12,2024-11-02 20:35:26.261988,AGENT00532,0,,,1,0,0,1,80,3.610713568,2,Online
CLM000065,CUST001665,POL0884051,48,Male,South,Auto,515.5,96513.32,6322.26,Medical,777,52.97,No,Approved,4381.82,2026-07-26 20:35:26.261990,AGENT00013,0,,,1,0,1,0,72,9.91172562,3,Phone
CLM000066,CUST013528,POL0374356,38,Female,East,Life,1077.16,6198.09,26978.05,Accident,384,3.8,No,Approved,21712.15,2025-05-08 20:35:26.261993,AGENT00094,0,,,1,0,0,0,69,3.56662162,3,Online
CLM000067,CUST004363,POL0458940,52,Female,West,Life,3877.13,90361.04,27991.57,Accident,809,48.77,No,Approved,22022.37,2025-07-10 20:35:26.261996,AGENT00479,0,,,0,0,1,1,76,8.686504367,3,Broker
CLM000068,CUST007083,POL0539811,60,Male,East,Auto,480.37,12148.23,5509.49,Theft,428,59.66,No,Rejected,4041.13,2024-12-07 20:35:26.261998,AGENT00555,0,,,1,2,0,1,69,4.328709573,4,Online
CLM000069,CUST017237,POL0521512,24,Male,East,Health,661.66,55142.58,16619.49,Theft,658,36.93,No,Approved,8679.43,2025-05-13 20:35:26.262000,AGENT00726,0,,,0,0,0,0,88,8.397177202,4,Phone
CLM000070,CUST002752,POL0473385,38,Male,North,Health,3595.6,26785.34,9194.74,Accident,544,84.34,Yes,Under Review,7726.43,2024-12-29 20:35:26.262019,AGENT00367,0,,,0,0,1,1,94,9.868527981,3,Broker
CLM000071,CUST003740,POL0109533,21,Male,South,Health,673.15,10765.59,32774.14,Theft,580,55.3,No,Approved,30816.51,2025-10-11 20:35:26.262024,AGENT00844,0,,,1,1,0,0,74,3.683445448,2,Online
CLM000072,CUST007956,POL0347378,57,Female,West,Life,2940.99,16593.95,44482.06,Theft,547,25.36,No,Approved,37656.49,2025-06-28 20:35:26.262028,AGENT01055,0,,,1,0,0,1,79,11.26349557,4,Broker
CLM000073,CUST013578,POL0299484,20,Female,East,Life,1357.61,29601.89,46419.08,Medical,491,46.32,No,Approved,29368.66,2025-12-25 20:35:26.262031,AGENT00964,0,,,1,0,0,1,88,9.939982401,2,Broker
CLM000074,CUST011669,POL0195535,37,Female,North,Auto,2314.77,66312.86,15053.68,Accident,608,56.18,No,Approved,10851.56,2026-06-29 20:35:26.262033,AGENT00053,0,,,0,0,0,1,59,11.90114818,6,Broker
CLM000075,CUST016616,POL0231918,66,Male,North,Auto,1667.06,29630.12,21707.39,Property,688,82.42,Yes,Under Review,20027.27,2025-09-25 20:35:26.262036,AGENT00555,1,2025-09-19 20:35:26.262036,6.0,1,0,0,1,48,12.00172648,2,Broker
CLM000076,CUST012180,POL0041189,22,Female,West,Life,2336.9,70608.11,28769.6,Accident,335,3.62,No,Approved,21323.48,2025-03-02 20:35:26.262038,AGENT00138,0,,,1,1,0,1,83,9.326689141,1,Phone
CLM000077,CUST000690,POL0740632,24,Female,East,Home,3464.85,75826.1,26490.14,Accident,693,68.65,No,Approved,18255.59,2025-10-01 20:35:26.262040,AGENT00302,0,,,1,0,0,1,89,10.58778826,2,Broker
CLM000078,CUST014937,POL0384645,54,Female,South,Life,2450.48,33507.47,11142.04,Theft,341,32.48,No,Approved,9031.3,2025-09-15 20:35:26.262044,AGENT01186,0,,,1,0,0,0,82,10.03442942,3,Phone
CLM000079,CUST010943,POL0453191,42,Male,South,Auto,4146.9,9770.21,45974.97,Medical,800,5.95,No,Rejected,37544.36,2025-04-19 20:35:26.262046,AGENT00187,0,,,0,0,0,1,77,9.254333077,3,Broker
CLM000080,CUST002093,POL0519991,50,Male,East,Home,2797.23,8364.77,12556.55,Property,682,47.74,No,Approved,10767.54,2026-08-04 20:35:26.262048,AGENT00578,0,,,1,0,1,1,64,10.79873359,3,Phone
CLM000081,CUST010373,POL0480527,59,Female,South,Life,1117.71,99191.0,33351.54,Medical,826,83.12,Yes,Under Review,25173.2,2025-06-17 20:35:26.262051,AGENT00750,0,,,0,0,0,0,81,10.14764056,7,Broker
CLM000082,CUST018173,POL0076197,48,Female,East,Auto,355.47,89138.83,969.36,Medical,498,0.17,No,Approved,882.34,2026-09-05 20:35:26.262053,AGENT00848,0,,,0,0,0,0,62,9.106818997,1,Broker
CLM000083,CUST003789,POL0013501,79,Female,North,Life,4150.87,54302.35,14933.85,Accident,440,99.54,Yes,Under Review,8908.9,2026-08-17 20:35:26.262055,AGENT00679,0,,,1,0,0,1,90,10.17671341,2,Broker
CLM000084,CUST008536,POL0248151,48,Male,East,Health,4847.17,31500.81,49751.89,Property,658,3.37,No,Approved,28464.34,2026-07-12 20:35:26.262057,AGENT00012,0,,,1,2,0,0,43,9.734200674,8,Broker
CLM000085,CUST011238,POL0584185,31,Female,West,Health,1637.54,99248.15,15912.25,Property,716,91.92,Yes,Under Review,14276.94,2024-11-29 20:35:26.262060,AGENT00406,0,,,0,2,0,1,85,4.307284852,3,Online
CLM000086,CUST009436,POL0322778,69,Male,East,Auto,4683.25,85390.72,43963.84,Medical,476,93.68,Yes,Under Review,34434.58,2026-06-02 20:35:26.262062,AGENT00615,0,,,1,1,0,0,77,4.046168916,5,Online
CLM000087,CUST013053,POL0689407,71,Male,South,Auto,1234.55,33423.49,43875.33,Theft,314,8.75,No,Approved,24142.05,2026-06-29 20:35:26.262064,AGENT00116,0,,,1,0,0,1,88,10.7850769,9,Broker
CLM000088,CUST017350,POL0213036,64,Female,South,Auto,3002.78,15067.8,19654.05,Medical,466,51.92,No,Approved,16828.08,2025-03-11 20:35:26.262067,AGENT00438,0,,,1,1,0,1,66,10.67445362,3,Broker
CLM000089,CUST011056,POL0786569,71,Male,East,Auto,1259.53,51537.55,11690.1,Medical,556,54.82,No,Approved,9359.23,2026-03-17 20:35:26.262069,AGENT00046,0,,,1,0,0,0,80,9.096858469,6,Broker
CLM000090,CUST016654,POL0681258,77,Male,West,Home,1237.67,99755.19,7458.21,Property,556,9.56,No,Approved,5933.63,2025-05-25 20:35:26.262071,AGENT00105,1,2025-05-22 20:35:26.262071,3.0,1,2,1,1,85,9.283189281,6,Broker
CLM000091,CUST005837,POL0620321,39,Female,South,Health,2234.85,72969.83,10204.04,Theft,843,62.73,No,Rejected,8343.03,2025-03-03 20:35:26.262073,AGENT00482,0,,,1,0,0,0,55,8.186533464,4,Phone
CLM000092,CUST013292,POL0811789,52,Male,West,Home,853.51,90864.13,22062.31,Property,520,73.2,No,Approved,12039.14,2026-01-03 20:35:26.262076,AGENT00175,0,,,0,0,1,1,63,12.40008396,7,Broker
CLM000093,CUST016818,POL0638239,19,Female,South,Home,1986.68,98953.97,29836.7,Accident,638,5.03,No,Approved,20665.67,2025-10-10 20:35:26.262078,AGENT00685,0,,,1,0,0,0,67,12.62724993,2,Broker
CLM000094,CUST019251,POL0041956,42,Male,North,Life,646.6,8089.16,31336.75,Theft,589,65.47,No,Approved,17395.65,2025-06-20 20:35:26.262080,AGENT00836,0,,,1,0,0,0,71,9.334360807,3,Broker
CLM000095,CUST018436,POL0099889,44,Male,West,Home,3578.78,63322.93,37074.23,Medical,457,52.72,No,Approved,34818.02,2026-07-04 20:35:26.262082,AGENT00997,0,,,1,1,0,1,65,12.24494953,6,Broker
CLM000096,CUST017553,POL0646433,46,Female,East,Health,2661.21,52115.28,13678.37,Accident,568,89.17,Yes,Under Review,11270.43,2026-08-22 20:35:26.262085,AGENT00250,0,,,1,0,0,0,90,11.41779298,3,Broker
CLM000097,CUST009410,POL0344256,77,Male,North,Health,1547.37,97596.41,40646.52,Theft,581,19.05,No,Rejected,34782.35,2026-04-10 20:35:26.262087,AGENT00219,0,,,1,0,0,0,76,10.23707302,1,Broker
CLM000098,CUST001722,POL0859670,70,Male,North,Life,3861.15,27335.36,19864.26,Property,497,60.9,No,Approved,18935.8,2025-04-29 20:35:26.262089,AGENT00138,0,,,1,1,0,1,78,11.12682548,5,Broker
CLM000099,CUST010301,POL0565127,71,Male,North,Health,752.32,89012.12,37214.13,Property,754,91.41,Yes,Under Review,23298.52,2026-08-19 20:35:26.262091,AGENT00772,0,,,1,0,0,1,49,4.770905859,4,Online
CLM000100,CUST019663,POL0138364,41,Male,North,Auto,4800.44,26955.48,18644.84,Theft,509,65.45,No,Approved,9961.17,2025-08-15 20:35:26.262094,AGENT00854,0,,,1,0,0,0,74,10.56106951,2,Broker
CLM000101,CUST017424,POL0311968,73,Male,West,Auto,665.96,22183.28,39772.9,Accident,467,41.14,No,Approved,35999.2,2024-11-13 20:35:26.262096,AGENT00044,0,,,1,1,1,1,86,9.085026822,5,Phone
CLM000102,CUST010307,POL0437082,46,Male,West,Home,1453.58,98367.71,8463.06,Property,467,27.75,No,Approved,8395.36,2025-05-09 20:35:26.262098,AGENT01135,0,,,1,0,0,1,50,7.699852647,2,Phone
CLM000103,CUST016220,POL0405857,79,Male,West,Home,1324.42,37153.71,2208.83,Theft,629,8.67,No,Approved,1917.14,2024-10-19 20:35:26.262100,AGENT00070,0,,,1,0,0,0,96,12.09638282,5,Broker
CLM000104,CUST004623,POL0094518,69,Male,West,Auto,756.45,35823.3,35980.59,Accident,641,38.93,No,Approved,25625.32,2025-08-06 20:35:26.262103,AGENT00653,0,,,0,1,0,1,94,8.996907581,1,Phone
CLM000105,CUST001408,POL0181604,44,Male,North,Life,2613.98,60377.68,30722.06,Theft,639,12.49,No,Approved,17720.91,2025-11-01 20:35:26.262105,AGENT00859,0,,,1,0,0,0,90,10.18677258,3,Broker
CLM000106,CUST002485,POL0327403,75,Male,West,Auto,2454.31,9746.0,42955.78,Accident,524,26.49,No,Approved,34112.39,2025-06-18 20:35:26.262107,AGENT01062,0,,,0,1,0,0,94,8.633342703,4,Phone
CLM000107,CUST012596,POL0893226,44,Male,North,Health,1044.84,12684.44,42470.56,Property,374,87.97,Yes,Under Review,33853.44,2024-11-23 20:35:26.262110,AGENT00869,0,,,1,0,0,0,82,8.343140958,7,Phone
CLM000108,CUST000815,POL0352614,55,Male,East,Health,3228.53,62734.59,27427.42,Property,454,25.78,No,Approved,15705.65,2025-04-21 20:35:26.262112,AGENT00997,0,,,1,0,0,1,52,9.807680783,4,Phone
CLM000109,CUST005581,POL0492788,66,Female,North,Life,4552.96,72019.17,3797.5,Medical,590,27.69,No,Approved,3276.73,2026-04-20 20:35:26.262114,AGENT00421,1,2026-04-16 20:35:26.262114,4.0,0,1,0,1,70,13.10525832,3,Broker
CLM000110,CUST016042,POL0631710,58,Female,North,Auto,3086.07,67630.78,8666.16,Medical,344,73.54,No,Approved,8233.85,2025-08-05 20:35:26.262117,AGENT01011,0,,,0,0,0,1,91,10.44620619,6,Broker
CLM000111,CUST019080,POL0617301,60,Female,North,Health,3730.24,36460.04,37733.53,Theft,455,11.92,No,Approved,37506.42,2025-04-22 20:35:26.262119,AGENT00107,0,,,1,3,0,0,85,8.056293374,1,Broker
CLM000112,CUST001908,POL0495818,18,Male,North,Health,625.89,30237.4,22262.68,Theft,653,65.48,No,Approved,21352.79,2026-07-20 20:35:26.262121,AGENT01089,0,,,0,0,0,0,64,9.089891907,4,Phone
CLM000113,CUST002446,POL0693222,70,Female,East,Home,2138.45,10575.66,46169.59,Accident,393,98.81,Yes,Under Review,42747.09,2026-02-10 20:35:26.262124,AGENT00662,1,2026-01-23 20:35:26.262124,18.0,0,0,1,0,86,10.47431442,6,Phone
CLM000114,CUST015489,POL0073986,57,Female,North,Life,2945.58,43880.09,24098.4,Property,346,71.32,No,Approved,17716.51,2025-10-27 20:35:26.262126,AGENT01012,0,,,1,0,0,0,86,10.71143512,4,Broker
CLM000115,CUST012685,POL0323455,55,Male,East,Life,1166.39,75092.97,26926.27,Accident,473,41.02,No,Rejected,20505.77,2026-07-07 20:35:26.262128,AGENT00532,0,,,1,0,1,1,44,4.041602077,5,Online
CLM000116,CUST011350,POL0115257,76,Female,North,Auto,4349.34,15449.44,35303.09,Theft,753,24.12,No,Approved,30360.42,2025-12-30 20:35:26.262130,AGENT00782,0,,,0,0,0,1,77,10.50189748,4,Broker
